,dataset,type,step,accuracy,loss
207,audio-mnist,ssh,103,100.0,0.0005739367916248739
208,audio-mnist,cls,104,99.21875,0.045344553887844086
209,audio-mnist,ssh,104,100.0,0.0008901104447431862
210,audio-mnist,cls,105,99.21875,0.040571000427007675
211,audio-mnist,ssh,105,100.0,0.0015528587391600013
212,audio-mnist,cls,106,98.4375,0.043472643941640854
213,audio-mnist,ssh,106,100.0,0.0012092298129573464
214,audio-mnist,cls,107,98.4375,0.04759766161441803
215,audio-mnist,ssh,107,99.8046875,0.0024733974132686853
216,audio-mnist,cls,108,99.21875,0.03451944515109062
217,audio-mnist,ssh,108,100.0,0.0007694339728914201
218,audio-mnist,cls,109,99.21875,0.026801293715834618
219,audio-mnist,ssh,109,100.0,0.00035300111630931497
220,audio-mnist,cls,110,100.0,0.023236224427819252
221,audio-mnist,ssh,110,100.0,0.00042479022522456944
222,audio-mnist,cls,111,99.21875,0.04891418293118477
223,audio-mnist,ssh,111,100.0,0.0008781920187175274
224,audio-mnist,cls,112,99.21875,0.02403596229851246
225,audio-mnist,ssh,112,100.0,0.000300351734040305
226,audio-mnist,cls,113,96.875,0.05185899883508682
227,audio-mnist,ssh,113,100.0,0.0006925949128344655
228,audio-mnist,cls,114,98.4375,0.04610847309231758
229,audio-mnist,ssh,114,100.0,0.0007693436928093433
230,audio-mnist,cls,115,98.4375,0.06680135428905487
231,audio-mnist,ssh,115,100.0,0.0003961907932534814
232,audio-mnist,cls,116,98.4375,0.025717241689562798
233,audio-mnist,ssh,116,100.0,0.0002355881006224081
234,audio-mnist,cls,117,99.21875,0.04433846473693848
235,audio-mnist,ssh,117,100.0,0.0001869999832706526
236,audio-mnist,cls,118,99.21875,0.03385724499821663
237,audio-mnist,ssh,118,100.0,0.00039178229053504765
238,audio-mnist,cls,119,97.65625,0.04535401612520218
239,audio-mnist,ssh,119,100.0,0.00021639515762217343
240,audio-mnist,cls,120,99.21875,0.027313873171806335
241,audio-mnist,ssh,120,100.0,0.0016110745491459966
242,audio-mnist,cls,121,97.65625,0.07486006617546082
243,audio-mnist,ssh,121,100.0,0.0002935664961114526
244,audio-mnist,cls,122,98.4375,0.03881845623254776
245,audio-mnist,ssh,122,99.609375,0.005929103121161461
246,audio-mnist,cls,123,100.0,0.026745455339550972
247,audio-mnist,ssh,123,100.0,0.0002613210817798972
248,audio-mnist,cls,124,99.21875,0.03247664123773575
249,audio-mnist,ssh,124,99.4140625,0.011872959323227406
250,audio-mnist,cls,125,99.21875,0.01842936873435974
251,audio-mnist,ssh,125,100.0,0.00021324207773432136
252,audio-mnist,cls,126,98.4375,0.039619848132133484
253,audio-mnist,ssh,126,100.0,0.0003244701074436307
254,audio-mnist,cls,127,97.65625,0.04510566592216492
255,audio-mnist,ssh,127,100.0,0.0005143382004462183
256,audio-mnist,cls,128,97.65625,0.040761590003967285
257,audio-mnist,ssh,128,99.8046875,0.006590875331312418
258,audio-mnist,cls,129,98.4375,0.03557784855365753
259,audio-mnist,ssh,129,100.0,0.0014067379524931312
260,audio-mnist,cls,130,98.4375,0.043305654078722
261,audio-mnist,ssh,130,100.0,0.001055617816746235
262,audio-mnist,cls,131,99.21875,0.0357452891767025
263,audio-mnist,ssh,131,100.0,0.0014093592762947083
264,audio-mnist,cls,132,100.0,0.02119877003133297
265,audio-mnist,ssh,132,100.0,0.0008941334090195596
266,audio-mnist,cls,133,100.0,0.03311552107334137
267,audio-mnist,ssh,133,100.0,0.0006772964843548834
268,audio-mnist,cls,134,97.65625,0.05933784320950508
269,audio-mnist,ssh,134,100.0,0.0009801192209124565
270,audio-mnist,cls,135,100.0,0.016093146055936813
271,audio-mnist,ssh,135,100.0,0.0001291169028263539
272,audio-mnist,cls,136,98.4375,0.04302852973341942
273,audio-mnist,ssh,136,100.0,0.0007032621651887894
274,audio-mnist,cls,137,99.21875,0.0350722074508667
275,audio-mnist,ssh,137,100.0,0.00030680763302370906
276,audio-mnist,cls,138,98.4375,0.042541034519672394
277,audio-mnist,ssh,138,99.609375,0.0061167217791080475
278,audio-mnist,cls,139,100.0,0.00942427758127451
279,audio-mnist,ssh,139,100.0,0.0003916439018212259
280,audio-mnist,cls,140,99.21875,0.053650692105293274
281,audio-mnist,ssh,140,100.0,0.0002020370593527332
282,audio-mnist,cls,141,99.21875,0.04613882303237915
283,audio-mnist,ssh,141,100.0,0.00025140869547612965
284,audio-mnist,cls,142,100.0,0.01722031459212303
285,audio-mnist,ssh,142,100.0,0.0006127771339379251
286,audio-mnist,cls,143,98.4375,0.03390996530652046
287,audio-mnist,ssh,143,100.0,0.0005571210640482605
288,audio-mnist,cls,144,99.21875,0.015960894525051117
289,audio-mnist,ssh,144,100.0,0.0009166607051156461
290,audio-mnist,cls,145,100.0,0.011500355787575245
291,audio-mnist,ssh,145,100.0,0.00029696241836063564
292,audio-mnist,cls,146,100.0,0.015448448248207569
293,audio-mnist,ssh,146,100.0,0.00026599562261253595
294,audio-mnist,cls,147,98.4375,0.03721681237220764
295,audio-mnist,ssh,147,99.21875,0.016993943601846695
296,audio-mnist,cls,148,100.0,0.019144723191857338
297,audio-mnist,ssh,148,100.0,0.000515202060341835
298,audio-mnist,cls,149,100.0,0.011070998385548592
299,audio-mnist,ssh,149,100.0,0.0004922644002363086
300,audio-mnist,cls,150,99.21875,0.04156695678830147
301,audio-mnist,ssh,150,100.0,0.0001829893735703081
302,audio-mnist,cls,151,100.0,0.0197844710201025
303,audio-mnist,ssh,151,100.0,0.00025863447808660567
304,audio-mnist,cls,152,98.4375,0.043591778725385666
305,audio-mnist,ssh,152,100.0,0.0003913482360076159
306,audio-mnist,cls,153,99.21875,0.018942678347229958
307,audio-mnist,ssh,153,100.0,0.0003825122839771211
308,audio-mnist,cls,154,98.4375,0.03297380730509758
309,audio-mnist,ssh,154,100.0,0.0011777577456086874
