Step,DD-3dB-no_cst,DD-3dB-org,running_tap_3.0,exercise_bike_3.0,doing_the_dishes_3.0,RT-3dB-no_nm,RT-3dB-no_cst,RT-3dB-no_pl,RT-3dB-org,EB-3dB-no_nm,EB-3dB-no_cst,EB-3dB-no_pl,EB-3dB-org,DD-3dB-no_pl,DD-3dB-no_nm
26,,,0.093616328,0.10381578861302893,0.10986732466019551,,,,,,,,,,
27,,,0.094646393,0.10035890105350967,0.10933162351554268,,,,,,,,,,
28,,,0.092994445,0.099652731,0.10858908121554978,,,,,,,,,,
29,,,0.091719993,0.097115201,0.1065059944040671,,,,,,,,,,
30,,,0.089900299,0.098014901,0.10659976270319806,,,,,,,,,,
31,,,0.090537069,0.097072908,0.10347739203631914,,,,,,,,,,
32,,,0.090143731,0.095549534,0.10388565712669612,,,,,,,,,,
33,,,0.089188197,0.096314627,0.10339122902582282,,,,,,,,,,
34,,,0.087468603,0.097308302,0.10357656680919808,,,,,,,,,,
35,,,0.087551269,0.091713227,0.1004372177328018,,,,,,,,,,
36,,,0.086495582,0.093343315,0.099720201,,,,,,,,,,
37,,,0.085140385,0.09262444,0.10077227788328022,,,,,,,,,,
38,,,0.085987522,0.091194997,0.10085473376262863,,,,,,,,,,
39,,,0.08408146,0.08835456,0.099501991,,,,,,,,,,
