Step,DD-10dB-no_nm,DD-10dB-no_cst,DD-10dB-no_pl,DD-10dB-org,EB-10dB-no_nm,EB-10dB-no_cst,EB-10dB-no_pl,EB-10dB-org,RT-10dB-no_nm,RT-10dB-no_cst,RT-10dB-org,RT-10dB-no_pl,RT-10dB-upd,EB-10dB-upd,DD-10dB-upd
10,2.329704835311348,3.6253271860555865,0,3.5522367053188626,2.327616452436212,3.613412747500648,0,3.5436093859689337,2.309834505015975,3.6030151894394784,3.544429292631261,0,0.1032037012680202,0.10267798865362653,0.1049995637704299
11,2.327352080126883,3.6405173528222408,0,3.566121748985259,2.3211366020387887,3.629742889826846,0,3.5574215783479626,2.2932674184861317,3.619019953018063,3.5596987853447595,0,0.10363318033170987,0.10265345262153677,0.10200172766306363
12,2.325518702991971,3.6474114047809385,0,3.572717919386049,2.315913664588066,3.634725845125919,0,3.5633381053875315,2.284788997940055,3.620411656761953,3.5645210861879897,0,0.10083009881167476,0.099557371,0.10047498822623226
13,2.321774214331253,3.650982824849411,0,3.573524269839408,2.309533080934359,3.6373931040086656,0,3.5653464058895064,2.2763536648361336,3.6232134598381642,3.566065967572687,0,0.10007633058356445,0.096903179,0.098745202
14,2.3181238635814805,3.6534372297391084,0,3.5737328616106456,2.3059846509790196,3.642285756871734,0,3.568421575315122,2.272391402350625,3.622190739976968,3.566349925639484,0,0.097030791,0.095008137,0.097311358
15,2.3168514425835696,3.6553451957557126,0,3.574550307482621,2.302180212253416,3.6416165985411886,0,3.568149914204235,2.270724097083152,3.622336780101481,3.5687738041362853,0,0.096971181,0.093568183,0.095595874
16,2.311668578237995,3.664753258997846,0,3.5850870060109195,2.2984528809156215,3.650714147468688,0,3.574516412587793,2.2638112227891534,3.6258708493250635,3.5743347950664486,0,0.093719252,0.09183514,0.094274638
17,2.3090129280943823,3.664824366569519,0,3.5864704196721733,2.294363503829694,3.6522489530799533,0,3.576928438,2.259013035767515,3.622100325607358,3.575805266838118,0,0.092931708,0.090533162,0.092142952
18,2.3072305699469338,3.6693368124570087,0,3.5912633904129123,2.2916172058299673,3.658795690802341,0,3.5812459221468287,2.258927370705795,3.629890752370369,3.579543259851809,0,0.091005383,0.088200346,0.08969697
19,2.3027973468174956,3.672971473263463,0,3.594390168226381,2.2872436380652195,3.655377924092499,0,3.580842425985516,2.259435493306655,3.626906651426369,3.5780422511934673,0,0.090893253,0.089716746,0.090416207
20,2.3013657990825567,3.670023696523317,0,3.595120248170526,2.2875237003178666,3.6510453362699966,0,3.575380653702597,2.256962588765252,3.6228112684029368,3.5789029803914083,0,0.090063188,0.084695745,0.087906222
,,,,,,,,,,,,,0.086724845,0.084375719,0.086003415
,,,,,,,,,,,,,0.087421717,0.084350364,0.085562117
,,,,,,,,,,,,,0.085981679,0.083022695,0.084435502
,,,,,,,,,,,,,0.08667086,0.083808147,0.081647901
,,,,,,,,,,,,,0.084991002,0.081313161,0.083015786
,,,,,,,,,,,,,0.082764016,0.081398893,0.082108013
,,,,,,,,,,,,,0.082380149,0.080079542,0.082436628
,,,,,,,,,,,,,0.081075154,0.08006498,0.078920594
,,,,,,,,,,,,,0.08290386,0.07963156,0.079472802
,,,,,,,,,,,,,0.080346472,0.078764504,0.07865602
,,,,,,,,,,,,,0.080143419,0.077133547,0.078847946
,,,,,,,,,,,,,0.078825305,0.077710542,0.074786977
,,,,,,,,,,,,,0.078838855,0.077437316,0.07693307
,,,,,,,,,,,,,0.077939645,0.077079062,0.076344631
,,,,,,,,,,,,,0.075117543,0.074323162,0.075168546
,,,,,,,,,,,,,0.075472104,0.075357279,0.073819208
,,,,,,,,,,,,,0.076652829,0.074144828,0.074098787
,,,,,,,,,,,,,0.075171586,0.073363278,0.073379861
,,,,,,,,,,,,,0.074544068,0.072951222,0.072089668
,,,,,,,,,,,,,0.074550913,0.072481139,0.072528986
,,,,,,,,,,,,,0.07505767,0.072036398,0.072667175
,,,,,,,,,,,,,0.073649094,0.071218194,0.070885081
,,,,,,,,,,,,,0.07082058,0.07092765,0.06936778
,,,,,,,,,,,,,0.072072839,0.070369887,0.068673156
,,,,,,,,,,,,,0.071412494,0.069296291,0.069560992
