Step,RT-10dB-upd,RT-10dB-no_nm,RT-10dB-no_cst,RT-10dB-no_pl,RT-10dB-org,EB-10dB-org,DD-10dB-org,DD-10dB-upd,DD-10dB-no_nm,DD-10dB-no_cst,DD-10dB-no_pl,EB-10dB-upd,EB-10dB-no_nm,EB-10dB-no_cst,EB-10dB-no_pl
27,,,,,10.493727872371673,10.52654092311859,10.833268218040466,,,,,,,,
28,,,,,10.472895090579987,10.49326144695282,10.825782170295716,,,,,,,,
29,,,,,10.505647237300874,10.48660407781601,10.78955568,,,,,,,,
30,,,,,10.47618614912033,10.524967844486238,10.81866762161255,,,,,,,,
31,,,,,10.499215433597564,10.506007292270661,10.797167060375214,,,,,,,,
32,,,,,10.46053172826767,10.503996663093567,10.758504831790924,,,,,,,,
33,,,,,10.458939764499664,10.498516445159913,10.762081592082977,,,,,,,,
34,,,,,10.468020017147065,10.490770637989044,10.74647360086441,,,,,,,,
35,,,,,10.462989087104797,10.473666985034942,10.74465032815933,,,,,,,,
36,,,,,10.453495967388154,10.48731607913971,10.74481509923935,,,,,,,,
37,,,,,10.452178552150727,10.514075524806977,10.756423211097717,,,,,,,,
38,,,,,10.483463246822357,10.490470666885376,10.712234456539155,,,,,,,,
39,,,,,10.469357566833496,10.499792985916137,10.73673264503479,,,,,,,,
40,,,,,10.459357843399047,10.479429743289948,10.72456149339676,,,,,,,,
41,,,,,10.46470264673233,10.498900454044342,10.72743047952652,,,,,,,,
42,,,,,10.461305902004241,10.471318082809448,10.699836213588714,,,,,,,,
43,,,,,10.446874833106994,10.515572221279145,10.707726254463196,,,,,,,,
44,,,,,10.465771389007568,10.508724262714386,10.682284438610075,,,,,,,,
